Time t / s,Events N,Channel n,Energy E / keV
0,0,0,-1.29932558139533
1,0,1,-1.24797674418603
2.001,0,2,-1.19662790697673
3,0,3,-1.14527906976743
4,0,4,-1.09393023255812
5,0,5,-1.04258139534882
6,0,6,-0.991232558139522
7,0,7,-0.939883720930219
8,0,8,-0.888534883720915
9.001,0,9,-0.837186046511615
10,0,10,-0.785837209302311
11,0,11,-0.734488372093008
12,0,12,-0.683139534883704
13,0,13,-0.631790697674404
14.001,0,14,-0.580441860465104
15.001,0,15,-0.5290930232558
16.001,0,16,-0.477744186046497
17,0,17,-0.426395348837197
18.001,0,18,-0.375046511627893
19,0,19,-0.32369767441859
20.001,0,20,-0.272348837209286
21,0,21,-0.220999999999986
22,0,22,-0.169651162790686
23,0,23,-0.118302325581382
23.999,0,24,-0.0669534883720786
25.001,0,25,-0.015604651162775
26.001,0,26,0.0357441860465251
27.001,0,27,0.0870930232558287
28,0,28,0.138441860465132
29,0,29,0.189790697674432
30,0,30,0.241139534883732
,0,31,0.292488372093036
,0,32,0.34383720930234
,0,33,0.395186046511643
,0,34,0.446534883720943
,0,35,0.497883720930247
,0,36,0.549232558139551
,0,37,0.600581395348851
,0,38,0.651930232558151
,0,39,0.703279069767454
,0,40,0.754627906976758
,0,41,0.805976744186061
,0,42,0.857325581395362
,0,43,0.908674418604665
,0,44,0.960023255813969
,0,45,1.01137209302327
,0,46,1.06272093023257
,0,47,1.11406976744187
,0,48,1.16541860465118
,0,49,1.21676744186048
,0,50,1.26811627906978
,0,51,1.31946511627908
,0,52,1.37081395348839
,0,53,1.42216279069769
,0,54,1.47351162790699
,0,55,1.52486046511629
,0,56,1.57620930232559
,0,57,1.6275581395349
,0,58,1.6789069767442
,0,59,1.7302558139535
,0,60,1.7816046511628
,0,61,1.83295348837211
,0,62,1.88430232558141
,0,63,1.93565116279071
,0,64,1.98700000000001
,0,65,2.03834883720931
,0,66,2.08969767441862
,0,67,2.14104651162792
,0,68,2.19239534883722
,0,69,2.24374418604652
,0,70,2.29509302325583
,0,71,2.34644186046513
,0,72,2.39779069767443
,0,73,2.44913953488373
,0,74,2.50048837209303
,0,75,2.55183720930234
,0,76,2.60318604651164
,0,77,2.65453488372094
,0,78,2.70588372093024
,0,79,2.75723255813955
,0,80,2.80858139534885
,0,81,2.85993023255815
,0,82,2.91127906976745
,0,83,2.96262790697676
,0,84,3.01397674418606
,0,85,3.06532558139536
,0,86,3.11667441860466
,0,87,3.16802325581396
,0,88,3.21937209302327
,0,89,3.27072093023257
,0,90,3.32206976744187
,0,91,3.37341860465118
,0,92,3.42476744186048
,0,93,3.47611627906978
,0,94,3.52746511627908
,0,95,3.57881395348838
,0,96,3.63016279069769
,0,97,3.68151162790699
,0,98,3.73286046511629
,0,99,3.78420930232559
,0,100,3.8355581395349
,0,101,3.8869069767442
,0,102,3.9382558139535
,0,103,3.9896046511628
,0,104,4.04095348837211
,0,105,4.09230232558141
,0,106,4.14365116279071
,0,107,4.19500000000001
,0,108,4.24634883720931
,0,109,4.29769767441862
,0,110,4.34904651162792
,0,111,4.40039534883722
,0,112,4.45174418604652
,0,113,4.50309302325583
,0,114,4.55444186046513
,0,115,4.60579069767443
,0,116,4.65713953488373
,0,117,4.70848837209303
,0,118,4.75983720930233
,0,119,4.81118604651164
,0,120,4.86253488372094
,0,121,4.91388372093024
,0,122,4.96523255813954
,0,123,5.01658139534885
,0,124,5.06793023255815
,0,125,5.11927906976745
,0,126,5.17062790697675
,0,127,5.22197674418605
,0,128,5.27332558139536
,0,129,5.32467441860466
,0,130,5.37602325581396
,0,131,5.42737209302327
,0,132,5.47872093023257
,0,133,5.53006976744187
,0,134,5.58141860465117
,0,135,5.63276744186047
